frame.time_epoch,frame.len,tcp.analysis.acks_frame,tcp.analysis.lost_segment,tcp.analysis.retransmission,tcp.analysis.fast_retransmission,tcp.analysis.spurious_retransmission,tcp.analysis.out_of_order
"33.203778000","1502",,,,,,
"33.375862000","1502",,,,,,"1"
"33.534305000","1502",,,,,,
"33.535807000","1502",,,,,,
"33.538324000","1502",,,,,,
"33.615862000","1502",,,"1",,,
"33.707863000","1502",,,,,,
"33.799862000","1502",,,,,,"1"
"33.866306000","1502",,,,,,
"33.867808000","1502",,,,,,
"33.947863000","1502",,,,,,
"33.949365000","1502",,,,,,
"34.039865000","1502",,,,,,
"34.131863000","1502",,"1",,,,
"34.199809000","1502",,"1",,,,
"34.281367000","1502",,,,,,
"34.282869000","1502",,,,,,
"34.284371000","1502",,,,,,
"34.371866000","1502",,,,,,
"34.455862000","1502",,,"1",,,
"34.478367000","1502",,,,,,
"34.549771000","1502",,,,,,
"34.613368000","1502",,,,,,
"34.616372000","1502",,"1",,,,
"34.909732000","1502",,,,,,
"34.945369000","1502",,,,,,
"34.968965000","1502",,,,,,
"35.155862000","1502",,,,,,"1"
"35.241760000","1502",,,,,,"1"
"35.277398000","1502",,,,,,
"35.278900000","1502",,,,,,
"35.331501000","1502",,,,,,
"35.435862000","1502",,,"1",,,
"35.573761000","1502",,,,,,
"35.609399000","1502",,,,,,
"35.610901000","1502",,,,,,
"35.612403000","1502",,,,,,
"35.665004000","1502",,"1",,,,
"35.905763000","1502",,,,,,
"35.941400000","1502",,,,,,
"35.942902000","1502",,,,,,
"35.944404000","1502",,,,,,
"36.017122000","1502",,,,,,
"36.237764000","1502",,,,,,
"36.273402000","1502",,,,,,
"36.274904000","1502",,,,,,
"36.298507000","1502",,,,,,
"36.339862000","1502",,,,,,
"36.360242000","1502",,,,,,
"36.569765000","1502",,,,,,
"36.605403000","1502",,,,,,
"36.606905000","1502",,,,,,
"36.630536000","1502",,,,,,"1"
"36.673365000","1502",,"1",,,,
"36.693788000","1502",,,,,,
"36.901767000","1502",,,,,,
"36.937404000","1502",,,,,,
"36.938906000","1502",,,,,,
"36.962537000","1502",,,,,,
"37.025790000","1502",,,,,,
"37.027292000","1502",,,,,,
"37.243862000","1502",,,,,,"1"
"37.269406000","1502",,"1",,,,
"37.270908000","1502",,,,,,
"37.294538000","1502",,"1",,,,
"37.359293000","1502",,,,,,
"37.559862000","1502",,,"1",,,
"37.575863000","1502",,,,,,
"37.578867000","1502",,"1",,,,
"37.602936000","1502",,,,,,
"37.626567000","1502",,,,,,
"37.651134000","1502",,,,,,
"37.698066000","1502",,,,,,
"37.767862000","1502",,,,,,"1"
"37.907865000","1502",,"1",,,,
"37.916388000","1502",,,,,,
"37.958595000","1502",,,,,,
"37.983162000","1502",,,,,,"1"
"38.032835000","1502",,,,,,
"38.099863000","1502",,,,,,
"38.239911000","1502",,,,,,"1"
"38.290596000","1502",,,,,,
"38.292098000","1502",,,,,,
"38.315163000","1502",,,,,,
"38.364836000","1502",,,,,,
"38.366338000","1502",,,,,,
"38.431865000","1502",,,,,,
"38.647165000","1502",,,,,,
"38.696837000","1502",,,,,,
"38.763866000","1502",,"1",,,,
"39.028839000","1502",,"1",,,,
"39.095894000","1502",,,,,,"1"
"39.231862000","1502",,,"1",,,
"39.399962000","1502",,,,,,
"39.427923000","1502",,,,,,"1"
"39.566725000","1502",,,,,,
"39.731991000","1502",,,,,,"1"
"39.759924000","1502",,,,,,
"40.064019000","1502",,,,,,
"40.091925000","1502",,"1",,,,
"40.093427000","1502",,,,,,
"40.295862000","1502",,,"1",,,
"40.400679000","1502",,,,,,
"40.425456000","1502",,,,,,
"40.472505000","1502",,,,,,
"40.746256000","1502",,,,,,
"40.757484000","1502",,,,,,"1"
"41.078284000","1502",,,"1",,,
"41.082590000","1502",,,,,,
"41.089485000","1502",,"1",,,,
"41.339862000","1502",,,"1",,,
"41.410286000","1502",,,,,,
