frame.time_epoch,frame.len,tcp.analysis.acks_frame,tcp.analysis.lost_segment,tcp.analysis.retransmission,tcp.analysis.fast_retransmission,tcp.analysis.spurious_retransmission,tcp.analysis.out_of_order
"21.102183000","74",,,,,,
"21.102242000","74",,,,,,
"21.102301000","74",,,,,,
"21.482438000","78",,,,,,
"21.482594000","78",,,,,,
"21.482750000","78",,,,,,
"21.864139000","1502",,,,,,
"21.865341000","1502",,,,,,
"21.866543000","1502",,,,,,
"21.867744000","1502",,,,,,
"21.868946000","1502",,,,,,
"21.870147000","1502",,,,,,
"21.871349000","1502",,,,,,
"21.872551000","1502",,,,,,
"21.874954000","1502",,"1",,,,
"21.876155000","1502",,,,,,
"21.879760000","1502",,"1",,,,
"21.880962000","1502",,,,,,
"21.882163000","1502",,,,,,
"21.884567000","1502",,"1",,,,
"21.885768000","1502",,,,,,
"21.888171000","1502",,,,,,
"21.889373000","1502",,,,,,
"21.890575000","1502",,,,,,
"21.891776000","1502",,,,,,
"21.892978000","1502",,,,,,
"21.894179000","1502",,,,,,
"21.895381000","1502",,,,,,
"21.897784000","1502",,"1",,,,
"21.898986000","1502",,,,,,
"22.247042000","1502",,"1",,,,
"22.248244000","1502",,,,,,
"22.249445000","1502",,,,,,
"22.250647000","1502",,,,,,
"22.251848000","1502",,,,,,
"22.253050000","1502",,,,,,
"22.254252000","1502",,,,,,
"22.255453000","1502",,,,,,
"22.256655000","1502",,,,,,
"22.257856000","1502",,,,,,
"22.259058000","1502",,,,,,
"22.260260000","1502",,,,,,
"22.261461000","1502",,,,,,
"22.262663000","1502",,,,,,
"22.263864000","1502",,,,,,
"22.265066000","1502",,,,,,
"22.266268000","1502",,"1",,,,
"22.267469000","1502",,,,,,
"22.268671000","1502",,,,,,
"22.269872000","1502",,,,,,"1"
"22.271074000","1502",,,,,,"1"
"22.272276000","1502",,,,,,
"22.273477000","1502",,,,,,
"22.274679000","1502",,,,,,
"22.275880000","1502",,,,,,
"22.277082000","1502",,,,,,
"22.278284000","1502",,,,,,
"22.279485000","1502",,,,,,
"22.280687000","1502",,,,,,
"22.281888000","1502",,,,,,
"22.283090000","1502",,,,,,
"22.284292000","1502",,,,,,
"22.285493000","1502",,,,,,
"22.286695000","1502",,,,,,
"22.287896000","1502",,,,,,
"22.289098000","1502",,,,,,
"22.431828000","1502",,,,,,
"22.631191000","1502",,,,,,"1"
"22.634796000","1502",,,,,,
"22.637199000","1502",,,,,,
"22.639602000","1502",,,,,,
"22.641294000","1502",,,,,,
"22.645610000","1502",,,,,,
"22.646812000","1502",,,,,,
"22.648013000","1502",,,,,,
"22.649215000","1502",,,"1",,,
"22.650416000","1502",,,"1",,,
"22.651618000","1502",,,,,,
"22.652820000","1502",,,,,,
"22.654021000","1502",,,,,,
"22.655223000","1502",,,,,,"1"
"22.656528000","1502",,,,,,
"22.659466000","1502",,,,,,
"22.662415000","1502",,,,,,
"22.664818000","1502",,,,,,
"22.667221000","1502",,,,,,
"22.815719000","1502",,"1",,,,
"23.016524000","1502",,,,,,
"23.017725000","1502",,,,,,"1"
"23.018927000","1502",,,,,,
"23.021330000","1502",,,,,,
"23.023022000","1502",,,,,,
"23.027338000","1502",,,,,,
"23.028540000","1502",,,,,,
"23.030943000","1502",,"1",,,,
"23.032144000","1502",,,,,,
"23.033346000","1502",,,,,,
"23.034548000","1502",,,,,,
"23.035749000","1502",,,,,,
"23.036951000","1502",,,,,,
"23.038152000","1502",,,,,,
"23.085745000","1502",,,,,,
"23.086947000","1502",,,,,,
"23.088148000","1502",,,,,,
"23.089350000","1502",,,,,,
"23.090552000","1502",,,,,,
"23.091753000","1502",,,,,,
"23.092955000","1502",,,,,,
"23.200098000","1502",,,,,,
"23.399426000","1502",,,,,,
"23.400628000","1502",,,,,,
"23.401829000","1502",,,,,,
"23.403031000","1502",,,,,,
"23.404232000","1502",,,,,,
"23.405434000","1502",,,,,,
"23.410240000","1502",,"1",,,,
"23.413845000","1502",,,,,,
"23.415047000","1502",,,,,,
"23.416248000","1502",,,,,,
"23.418652000","1502",,"1",,,,
"23.419853000","1502",,,,,,
"23.421055000","1502",,,,,,
"23.468675000","1502",,,,,,
"23.469876000","1502",,,,,,"1"
"23.472279000","1502",,,,,,
"23.474683000","1502",,,,,,
"23.783557000","1502",,,,,,"1"
"23.785563000","1502",,"1",,,,
"23.788713000","1502",,,,,,
"23.796748000","1502",,,,,,
"23.800729000","1502",,"1",,,,
"23.802783000","1502",,,,,,"1"
"23.851577000","1502",,,,,,
"23.852779000","1502",,,,,,
"23.853980000","1502",,,,,,
"23.855182000","1502",,,,,,
"23.856384000","1502",,,,,,
"24.165285000","1502",,,,,,"1"
"24.170080000","1502",,,,,,
"24.173084000","1502",,,,,,
"24.182475000","1502",,,"1",,,
"24.184511000","1502",,,,,,
"24.233312000","1502",,,,,,
"24.234514000","1502",,,,,,
"24.235716000","1502",,,,,,
"24.238119000","1502",,"1",,,,
"24.547013000","1502",,,,,,
"24.551808000","1502",,,,,,"1"
"24.554812000","1502",,,,,,
"24.556014000","1502",,,,,,
"24.557528000","1502",,,,,,
"24.565377000","1502",,"1",,,,
"24.566579000","1502",,,,,,
"24.567781000","1502",,,,,,
"24.615013000","1502",,,,,,
"24.616215000","1502",,,,,,
"24.617417000","1502",,,,,,
"24.623598000","1502",,,,,,
"24.929997000","1502",,,,,,
"24.933509000","1502",,,,,,
"24.936513000","1502",,,,,,
"24.937715000","1502",,,,,,
"24.938916000","1502",,,,,,
"24.940118000","1502",,,,,,
"24.948021000","1502",,,,,,
"24.949508000","1502",,,,,,
"24.997943000","1502",,,,,,
"24.999144000","1502",,,,,,"1"
"25.315210000","1502",,"1",,,,
"25.318214000","1502",,,,,,
"25.319416000","1502",,,,,,
"25.321819000","1502",,"1",,,,
"25.341404000","1502",,,,,,
"25.382047000","1502",,"1",,,,
"25.701144000","1502",,,,,,
"25.702345000","1502",,,,,,
"25.703547000","1502",,,,,,"1"
"25.723161000","1502",,,"1",,,
"25.729021000","1502",,,,,,
"25.764881000","1502",,,,,,
"26.084091000","1502",,,"1",,,
"26.085293000","1502",,,,,,
"26.086494000","1502",,,,,,
"26.104862000","1502",,,,,,
"26.110793000","1502",,,,,,
"26.111994000","1502",,,,,,
"26.117562000","1502",,,,,,"1"
"26.149458000","1502",,,,,,
"26.150659000","1502",,,,,,
"26.468195000","1502",,"1",,,,
"26.469397000","1502",,,,,,
"26.486562000","1502",,,,,,
"26.493695000","1502",,,,,,
"26.499263000","1502",,,,,,
"26.500464000","1502",,,,,,
"26.531159000","1502",,,,,,
"26.532360000","1502",,,,,,
"26.852326000","1502",,,"1",,,
"26.868263000","1502",,"1",,,,
"26.875396000","1502",,,,,,
"26.880964000","1502",,,,,,
"26.882165000","1502",,,,,,
"26.912860000","1502",,,,,,
"26.914061000","1502",,,,,,
"27.165562000","1502",,,"1",,,
"27.257124000","1502",,,,,,
"27.262664000","1502",,,,,,
"27.294561000","1502",,"1",,,,
"27.295762000","1502",,,,,,
"27.638852000","1502",,,"1",,,
"27.644365000","1502",,,,,,
"27.677490000","1502",,,,,,
"27.689562000","1502",,,,,,
"27.933562000","1502",,,"1",,,
"28.020553000","1502",,"1",,,,
"28.059218000","1502",,,,,,
"28.315263000","1502",,,,,,
"28.402281000","1502",,,"1",,,
"28.404526000","1502",,,,,,
"28.440946000","1502",,,"1",,,
"28.447027000","1502",,,,,,
"28.696964000","1502",,,,,,
"28.698165000","1502",,,,,,
