frame.time_epoch,frame.len
20.453385000,1502
20.454586000,1502
20.455788000,1502
20.456990000,1502
20.458191000,1502
20.459393000,1502
20.460594000,1502
20.461796000,1502
20.462998000,1502
20.464199000,1502
20.465401000,1502
20.466602000,1502
20.467804000,1502
20.469006000,1502
20.470207000,1502
20.471409000,1502
20.472610000,1502
20.473812000,1502
20.475014000,1502
20.476215000,1502
20.554886000,1502
20.556088000,1502
20.557289000,1502
20.558491000,1502
20.559693000,1502
20.560894000,1502
20.562096000,1502
20.563297000,1502
20.564499000,1502
20.565701000,1502
20.566902000,1502
20.568104000,1502
20.569305000,1502
20.570507000,1502
20.571709000,1502
20.572910000,1502
20.574112000,1502
20.575313000,1502
20.576515000,1502
20.577717000,1502
20.578918000,1502
20.580120000,1502
20.581321000,1502
20.582523000,1502
20.583725000,1502
20.584926000,1502
20.586128000,1502
20.587329000,1502
20.588531000,1502
20.589733000,1502
20.590934000,1502
20.592136000,1502
20.593337000,1502
20.594539000,1502
20.595741000,1502
20.596942000,1502
20.598144000,1502
20.599345000,1502
20.600547000,1502
20.601749000,1502
20.656388000,1502
20.657589000,1502
20.658791000,1502
20.659992000,1502
20.661194000,1502
20.662396000,1502
20.663597000,1502
20.664799000,1502
20.666000000,1502
20.667202000,1502
20.668404000,1502
20.669605000,1502
20.670807000,1502
20.672008000,1502
20.673210000,1502
20.674412000,1502
20.675613000,1502
20.676815000,1502
20.678016000,1502
20.679218000,1502
20.680420000,1502
20.681621000,1502
20.682823000,1502
20.684024000,1502
20.685226000,1502
20.686428000,1502
20.687629000,1502
20.688831000,1502
20.690032000,1502
20.691234000,1502
20.692436000,1502
20.693637000,1502
20.694839000,1502
20.696040000,1502
20.697242000,1502
20.698444000,1502
20.699645000,1502
20.700847000,1502
20.702048000,1502
20.703250000,1502
20.704452000,1502
20.705653000,1502
20.706855000,1502
20.708056000,1502
20.709258000,1502
20.710460000,1502
20.711661000,1502
20.712863000,1502
20.714064000,1502
20.715266000,1502
